epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8968,1.66873,4.38409,1.3828,0.00353,0.95833,0.37663,0.25368,0.83717,3.55627,0.90318,0.00015,0.00015,0.00015
2,16.7495,1.57513,3.39344,1.32077,0.00412,1,0.58605,0.37295,0.95686,3.34052,0.90979,0.000309406,0.000309406,0.000309406
3,19.2213,1.46323,3.05525,1.29294,0.00575,1,0.63785,0.4789,0.80861,3.12784,0.87083,0.000465595,0.000465595,0.000465595
4,21.6585,1.57329,2.91162,1.3382,0.92965,0.25,0.65192,0.49053,0.94272,2.91741,0.94295,0.000618566,0.000618566,0.000618566
5,24.035,1.47116,2.73177,1.29192,0.67241,0.49428,0.66561,0.46319,1.00369,2.67628,0.95222,0.00076832,0.00076832,0.00076832
6,26.4187,1.57262,2.9048,1.38242,0.65185,0.30833,0.55779,0.34994,1.13602,3.09059,1.11108,0.000914856,0.000914856,0.000914856
7,28.7829,1.55652,2.59738,1.37833,0.83912,0.21706,0.56171,0.4055,1.22689,3.13768,1.11935,0.00105817,0.00105817,0.00105817
8,31.1724,1.52341,2.58253,1.30956,0.62743,0.62451,0.77825,0.49695,1.26156,2.48688,1.11606,0.00116337,0.00116337,0.00116337
9,33.581,1.55177,2.64719,1.35641,0.56141,0.74518,0.8175,0.56262,0.98748,2.19118,1.03542,0.001151,0.001151,0.001151
10,35.9364,1.49557,2.29604,1.33804,0.49107,0.73822,0.73637,0.48899,1.25429,2.66818,1.09531,0.00113863,0.00113863,0.00113863
11,38.338,1.51901,2.40672,1.37057,0.57527,0.83097,0.80101,0.56537,1.06252,1.63026,1.0322,0.00112625,0.00112625,0.00112625
12,40.6876,1.51516,2.27364,1.36496,0.83648,0.95833,0.93878,0.66025,1.05396,1.74314,1.06974,0.00111388,0.00111388,0.00111388
13,43.1304,1.41909,2.1318,1.28221,0.79652,0.82353,0.93072,0.60528,1.06306,1.62114,1.04707,0.0011015,0.0011015,0.0011015
14,45.4992,1.50556,2.1025,1.34617,0.91,0.84124,0.92348,0.57238,1.22307,1.38543,1.11182,0.00108913,0.00108913,0.00108913
15,47.8642,1.46654,1.9064,1.33093,0.7682,0.78509,0.87252,0.64984,1.08387,1.3271,1.07467,0.00107675,0.00107675,0.00107675
16,50.3778,1.45903,1.94528,1.31545,0.80938,0.7806,0.89241,0.59589,1.11797,1.25681,1.13987,0.00106437,0.00106437,0.00106437
17,52.8034,1.44651,1.83426,1.33758,0.78844,0.94046,0.91292,0.69394,0.90396,1.19802,1.06337,0.001052,0.001052,0.001052
18,55.149,1.41339,1.78285,1.30215,0.89492,0.90227,0.93994,0.70206,0.9224,1.14268,1.04935,0.00103962,0.00103962,0.00103962
19,57.4808,1.4066,1.70939,1.3045,0.97264,0.7905,0.9249,0.69401,0.88907,1.07989,1.02069,0.00102725,0.00102725,0.00102725
20,59.8741,1.42131,1.77168,1.30269,0.86445,0.94627,0.98357,0.7285,0.93946,1.05848,1.04061,0.00101488,0.00101488,0.00101488
21,62.249,1.43167,1.67484,1.29615,0.88317,0.91225,0.97143,0.62095,1.2999,1.05831,1.15054,0.0010025,0.0010025,0.0010025
22,64.6465,1.45401,1.64702,1.31152,0.79371,0.82845,0.93544,0.70203,0.94231,1.26377,1.05806,0.000990125,0.000990125,0.000990125
